Original Task,Ground_Truth_Details,Underspecified Task
How much I spent on food-related shopping during March 2023,"{
    ""category"": ""food-related shopping"",
    ""time period"": ""March 2023""
}",How much I spent on shopping during March 2023.
How much I spent on hair care and hair style shopping during Jan 2023,"{
    ""category"": ""hair care and hair style shopping"",
    ""time_period"": ""Jan 2023""
}",How much I spent on hair care and hair style shopping.
How much I spent on home decoration shopping during 1/29/2023,"{
    ""activity"": ""home decoration shopping"",
    ""date"": ""1/29/2023""
}",How much I spent on home decoration shopping.
How much I spent on food shopping during from mid Jan to the end Jan 2023,"{
    ""activity"": ""food shopping"",
    ""time period"": ""mid Jan to the end Jan 2023""
}",How much I spent on food shopping.
How much I spent on cooking and food shopping during March 2022,"{
    ""category"": [""cooking"", ""food shopping""],
    ""time_period"": ""March 2022""
}",How much I spent on cooking and food shopping.
What is the size configuration of the picture frame I bought Sep 2022,"{
    ""item"": ""picture frame"",
    ""purchase_date"": ""Sep 2022""
}",What is the size configuration of the picture frame I bought?
What is the size configuration of the picture frame I bought 2022,"{
    ""item"": ""picture frame"",
    ""year"": ""2022""
}",What is the size configuration of the picture frame I bought?
What is the color configuration of the picture frame I bought Sep 2022,"{
    ""item"": ""picture frame"",
    ""purchase_date"": ""Sep 2022""
}",What is the color configuration of the picture frame?
What is the color configuration of the artifical plants I bought Feb 2023,"{
    ""item"": ""artificial plants"",
    ""purchase_date"": ""Feb 2023""
}",What is the color configuration of the artificial plants?
What is the price configuration of the fake tree I bought Jan 2023,"{
    ""item"": ""fake tree"",
    ""purchase_date"": ""Jan 2023""
}",What is the price configuration of the fake tree I bought?
What is the minimum travel time by car from CMU to University of Pittsburgh?,"{
    ""mode of transport"": ""car"",
    ""start location"": ""CMU"",
    ""end location"": ""University of Pittsburgh""
}",What is the minimum travel time by car to University of Pittsburgh?
What is the minimum travel time by car from Schenley park to Upitt?,"{
    ""mode of transportation"": ""car"",
    ""starting location"": ""Schenley park"",
    ""destination"": ""Upitt""
}",What is the minimum travel time from Schenley park to Upitt?
What is the minimum travel time by car from REI to CMU?,"{
    ""mode of transport"": ""car"",
    ""start location"": ""REI"",
    ""end location"": ""CMU""
}",What is the minimum travel time by car?
What is the minimum travel time by car from CMU gates building to Schenley park?,"{
    ""start_location"": ""CMU gates building"",
    ""end_location"": ""Schenley park"",
    ""mode_of_transport"": ""car"",
    ""query"": ""minimum travel time""
}",What is the travel time by car from CMU gates building to Schenley park?
What is the minimum travel time by car from Animal Rescue League of Pittsburgh to Schenley park?,"{
    ""starting_location"": ""Animal Rescue League of Pittsburgh"",
    ""destination"": ""Schenley Park"",
    ""mode_of_transport"": ""car""
}",What is the minimum travel time by car to Schenley Park?
"I have a lot of Nintendo Switch game cards now, help me find the best storage option to fit all 11 cards","{
    ""item"": ""Nintendo Switch game cards"",
    ""quantity"": 11,
    ""task"": ""find the best storage option""
}",Help me find the best storage option for my Nintendo Switch game cards.
"I have a lot of Nintendo Switch game cards now, help me find the best storage option to fit all 31 cards","{
    ""item"": ""Nintendo Switch game cards"",
    ""quantity"": 31,
    ""task"": ""find the best storage option""
}",Help me find the best storage option for my Nintendo Switch game cards.
"I have a lot of Nintendo Switch game cards now, help me find the best storage option to fit all 6 cards","{
    ""item"": ""Nintendo Switch game cards"",
    ""quantity"": 6,
    ""task"": ""find the best storage option""
}",Help me find the best storage option for my Nintendo Switch game cards.
"I have a lot of Nintendo Switch game cards now, help me find the best storage option to fit all 23 cards","{
    ""item"": ""Nintendo Switch game cards"",
    ""quantity"": 23,
    ""task"": ""find the best storage option""
}",Help me find the best storage option for my Nintendo Switch game cards.
"I have a lot of Nintendo Switch game cards now, help me find the best storage option to fit all 40 cards","{
    ""item"": ""Nintendo Switch game cards"",
    ""quantity"": 40,
    ""task"": ""find the best storage option""
}",Help me find the best storage option for my Nintendo Switch game cards.
What are the main criticisms of this product? Please extract the relevant sentences.,"{
    ""task"": ""extract the main criticisms"",
    ""object"": ""this product"",
    ""action"": ""extract the relevant sentences""
}",What are the main criticisms of this product?
Tell me the full names of the repositories where I made contributions and they got more than 100 stars?,"{
    ""action"": ""Tell me the full names of the repositories"",
    ""condition"": ""where I made contributions and they got more than 100 stars""
}",Tell me the full names of the repositories where I made contributions.
Tell me the full names of the repositories where I made contributions and they got the most stars?,"{
    ""action"": ""Tell me"",
    ""subject"": ""full names of the repositories"",
    ""condition"": ""where I made contributions and they got the most stars""
}",Tell me the full names of the repositories.
Tell me the full names of the repositories where I made contributions and they got the least stars?,"{
    ""action"": ""Tell me"",
    ""subject"": ""full names of the repositories"",
    ""condition"": ""where I made contributions and they got the least stars""
}",Tell me the full names of the repositories where I made contributions.
Tell me the full names of the repositories where I made contributions and they got less than 5 stars?,"{
    ""action"": ""Tell me the full names of the repositories"",
    ""condition"": ""where I made contributions and they got less than 5 stars""
}",Tell me the full names of the repositories where I made contributions.
Tell me the full names of the repositories where I made contributions and they got no stars?,"{
    ""action"": ""Tell me the full names"",
    ""subject"": ""repositories"",
    ""condition"": ""where I made contributions and they got no stars""
}",Tell me the full names of the repositories where I made contributions.
"Open my latest updated issue that has keyword ""better"" in its title to check if it is closed","{
    ""issue"": ""latest updated"",
    ""keyword"": ""better"",
    ""action"": ""check if it is closed""
}",Open my latest updated issue to check if it is closed.
"Open my latest updated issue that has keyword ""feature"" in its title to check if it is closed","{
    ""issue"": ""latest updated"",
    ""keyword"": ""feature"",
    ""action"": ""check if it is closed""
}","Open my latest updated issue that has keyword ""feature"" in its title."
"Open my latest updated issue that has keyword ""dependency"" in its title to check if it is closed","{
    ""action"": ""Open"",
    ""issue"": ""latest updated"",
    ""keyword"": ""dependency"",
    ""check"": ""if it is closed""
}",Open my latest updated issue to check if it is closed.
"Open my latest updated issue that has keyword ""theme editor"" in its title to check if it is closed","{
    ""issue"": ""latest updated"",
    ""keyword"": ""theme editor"",
    ""action"": ""check if it is closed""
}","Open my latest updated issue that has keyword ""theme editor"" in its title."
"Open my latest updated issue that has keyword ""homepage content"" in its title to check if it is closed","{
    ""issue"": ""latest updated"",
    ""keyword"": ""homepage content"",
    ""action"": ""check if it is closed""
}","Open my latest updated issue that has keyword ""homepage content"" in its title."
Open my latest created issue that has better in its title to check if it is closed,"{
    ""action"": ""Open"",
    ""issue"": ""latest created"",
    ""title_contains"": ""better"",
    ""check_status"": ""closed""
}",Open my latest created issue that has better in its title.
Open my latest created issue that has feature in its title to check if it is closed,"{
    ""issue"": ""latest created"",
    ""title_contains"": ""feature"",
    ""action"": ""check if it is closed""
}",Open my latest created issue that has feature in its title.
Open my latest created issue that has dependency in its title to check if it is closed,"{
    ""issue"": ""latest created"",
    ""title_contains"": ""dependency"",
    ""action"": ""check if it is closed""
}",Open my latest created issue that has dependency in its title.
Open my latest created issue that has theme editor in its title to check if it is closed,"{
    ""issue"": ""latest created"",
    ""title_contains"": ""theme editor"",
    ""action"": ""check if it is closed""
}",Open my latest created issue that has theme editor in its title.
Open my latest created issue that has homepage content in its title to check if it is closed,"{
    ""issue"": ""latest created"",
    ""title_contains"": ""homepage content"",
    ""action"": ""check if it is closed""
}",Open my latest created issue to check if it is closed.
Give me the SKU of the products that have 10 units left,"{
    ""request"": ""SKU"",
    ""condition"": ""10 units left""
}",Give me the SKU of the products.
Give me the name of the products that have 0 units left,"{
    ""request"": ""name of the products"",
    ""condition"": ""0 units left""
}",Give me the name of the products.
Give me the brand of the products that have 3 units left,"{
    ""quantity"": ""3 units"",
    ""request"": ""brand of the products""
}",Give me the brand of the products.
Give me the product names and the sizes of the products that have 2-3 units left,"{
    ""request"": ""product names and sizes"",
    ""quantity"": ""2-3 units left""
}",Give me the product names and the sizes of the products.
Give me the SKU of the products that have 1-3 units left,"{
    ""request"": ""SKU"",
    ""quantity_range"": ""1-3 units""
}",Give me the SKU of the products.
Tell me the total cost of my latest pending order?,"{
    ""request"": ""total cost"",
    ""order_status"": ""latest pending""
}",Tell me the cost of my latest order?
Tell me the total cost of my latest complete order?,"{
    ""request"": ""total cost"",
    ""order"": ""latest complete""
}",Tell me the total cost of my order?
Tell me the total cost of my latest processing order?,"{
    ""request"": ""total cost"",
    ""order"": ""latest processing order""
}",Tell me the total cost?
Tell me the total cost of my latest non-cancelled order?,"{
    ""request"": ""total cost"",
    ""order"": ""latest non-cancelled""
}",Tell me the total cost of my latest order?
Get the total payment amount of the last 2 completed orders,"{
    ""action"": ""Get the total payment amount"",
    ""orders"": ""last 2 completed""
}",Get the total payment amount of the orders.
Get the total payment amount of the last 5 completed orders,"{
    ""action"": ""Get the total payment amount"",
    ""orders"": ""last 5 completed""
}",Get the total payment amount of the orders.
Get the total payment amount of the last 5 pending orders,"{
    ""action"": ""Get the total payment amount"",
    ""orders"": ""last 5 pending""
}",Get the total payment amount of the orders.
Compare the payment difference of the last 4 cancelled orders and completed orders,"{
    ""task"": ""Compare the payment difference"",
    ""orders"": ""last 4 cancelled orders and completed orders""
}",Compare the payment difference of the orders.
Get the total payment amount of the last 5 non-cancelled orders,"{
    ""action"": ""Get the total payment amount"",
    ""orders"": ""last 5 non-cancelled""
}",Get the total payment amount of the last 5 orders.
Get the customer name of the most recent cancelled order,"{
    ""action"": ""Get"",
    ""information"": ""customer name"",
    ""order status"": ""most recent cancelled""
}",Get the customer name of the most recent order.
Get the order ID of the newest pending order,"{
    ""action"": ""Get the order ID"",
    ""order_status"": ""newest pending""
}",Get the order ID of the newest order.
Get the billing name of the oldest complete order,"{
    ""information"": ""billing name"",
    ""order"": ""oldest complete""
}",Get the billing name of the complete order.
Get the customer name of the earliest fraud suspect order,"{
    ""information"": ""customer name"",
    ""criteria"": ""earliest fraud suspect order""
}",Get the customer name of the fraud suspect order.
Get the date of the most recent canlled order,"{
    ""task"": ""Get the date"",
    ""order_status"": ""most recent cancelled order""
}",Get the date.
Get the purchase date and order id of the most recent pending order,"{
    ""details"": [""purchase date"", ""order id""],
    ""order status"": ""most recent pending""
}",Get the purchase date of the most recent pending order.
Get the product name and discounted price (low to high) of the most recent completed order,"{
    ""details"": ""product name and discounted price (low to high)"",
    ""order"": ""most recent completed""
}",Get the product name and discounted price (low to high) of the order.
